"Table_Number","Year","Measure","Age","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"11A.2","2013-14","Ambulance activity and resources","All ages","All areas","","Transport","Total road fleet","","","","","CAA (unpublished)","m km","40.2","35.8","35.2","7.1","11.3","3.2","1.1","na","133.8"
"11A.2","2013-14","Ambulance activity and resources","All ages","All areas","","Transport","Air ambulance aircraft","","","","","CAA (unpublished)","no.","22","9","27","19","8","2","1","0","88"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Incidents","Emergency incidents","","","","","CAA (unpublished)","no.","547691","312021","310013","91749","129142","37865","14464","na","1442945"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Incidents","Urgent incidents","","","","","CAA (unpublished)","no.","159381","164547","323903","50746","73725","20487","18869","na","811658"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Incidents","Non-emergency incidents","","","","","CAA (unpublished)","no.","286541","339351","233827","103592","59687","12164","8013","na","1043175"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Incidents","Casualty room attendances","","","","","CAA (unpublished)","no.","..","..","2470","..","..","..","..","..","2470"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Incidents","Total incidents","","","","","Derived from CAA (unpublished)","no.","993613","815919","870213","246087","262554","70516","41346","na","3300248"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Incidents","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","135.1","142.9","188.7","100.1","157.9","137.8","108.9","na","143.9"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Response locations","With paid staff only","","","","","CAA (unpublished)","no.","224","166","242","30","42","12","7","4","727"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Response locations","With mixed paid and volunteer staff","","","","","CAA (unpublished)","no.","6","62","0","12","3","16","0","3","102"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Response locations","With volunteer staff only","","","","","CAA (unpublished)","no.","38","29","27","147","68","21","0","2","332"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Response locations","Total response locations","","","","","Derived from CAA (unpublished)","no.","268","257","269","189","113","49","7","9","1161"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Response locations","Per 100 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","3.6","4.5","5.8","7.7","6.8","9.6","1.8","3.8","5.1"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","First responder locations","Ambulance","","","","","CAA (unpublished)","no.","16","58","29","456","8","5","0","0","572"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","First responder locations","Third party","","","","","CAA (unpublished)","no.","6","74","0","0","12","4","0","0","96"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Responses","Emergency responses","","","","","CAA (unpublished)","no.","699360","469756","409031","106379","179051","47301","15455","14535","1940868"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Responses","Urgent responses","","","","","CAA (unpublished)","no.","198772","217678","358495","61611","100357","24203","17926","22379","1001421"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Responses","Non-emergency responses","","","","","CAA (unpublished)","no.","321130","391346","229106","117899","73406","13206","8179","10657","1164929"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Responses","Total responses","","","","","Derived from CAA (unpublished)","no.","1219262","1078780","996632","285889","352814","84710","41560","47571","4107218"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Responses","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","165.8","188.9","216.1","116.3","212.1","165.5","109.4","199.3","179.1"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Patients","Transported","","","","","CAA (unpublished)","no.","816262","659564","736100","218747","201667","58114","29864","36966","2757284"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Patients","Treated not transported","","","","","CAA (unpublished)","no.","141310","79061","87971","23777","32057","12620","7001","10485","394282"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Patients","Total patients","","","","","Derived from CAA (unpublished)","no.","957572","738625","824071","242524","233724","70734","36865","47451","3151566"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Patients","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","130.2","129.4","178.7","98.7","140.5","138.2","97.1","198.8","137.5"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Transport","Ambulance general purpose","","","","","CAA (unpublished)","no.","930","534","815","466","225","108","27","32","3137"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Transport","Patient transport vehicles","","","","","CAA (unpublished)","no.","116","57","106","31","20","13","4","3","350"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Transport","Operational support vehicles","","","","","CAA (unpublished)","no.","306","316","210","32","87","31","11","12","1005"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Transport","Special operations vehicles","","","","","CAA (unpublished)","no.","94","18","18","1","44","3","0","1","179"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Transport","Administrative and other vehicles","","","","","Derived from CAA (unpublished)","no.","136","178","88","83","36","11","5","11","548"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Transport","Total transport","","","","","Derived from CAA (unpublished)","no.","1582","1103","1237","613","412","166","47","59","5219"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Transport","Total road fleet","","","","","CAA (unpublished)","m km","36.3","34.1","34.1","7.0","11.5","2.9","1.3","na","127.2"
"11A.2","2012-13","Ambulance activity and resources","All ages","All areas","","Transport","Air ambulance aircraft","","","","","CAA (unpublished)","no.","16","9","26","16","10","2","1","0","80"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Incidents","Emergency incidents","","","","","CAA (unpublished)","no.","547520","293480","288541","88904","140930","34188","14825","na","1408388"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Incidents","Urgent incidents","","","","","CAA (unpublished)","no.","138607","158257","307103","44415","57091","21785","16442","na","743700"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Incidents","Non-emergency incidents","","","","","CAA (unpublished)","no.","287262","343035","232762","95528","57542","12458","7845","na","1036432"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Incidents","Casualty room attendances","","","","","CAA (unpublished)","no.","..","..","4837","..","..","..","..","..","4837"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Incidents","Total incidents","","","","","Derived from CAA (unpublished)","no.","973389","794772","833243","228847","255563","68431","39112","na","3193357"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Incidents","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","134.1","142.1","184.4","95.9","155.2","133.7","105.1","na","141.8"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Response locations","With paid staff only","","","","","CAA (unpublished)","no.","223","159","239","30","42","11","7","4","715"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Response locations","With mixed paid and volunteer staff","","","","","CAA (unpublished)","no.","6","43","0","12","3","17","0","3","84"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Response locations","With volunteer staff only","","","","","CAA (unpublished)","no.","38","28","27","147","69","21","0","2","332"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Response locations","Total response locations","","","","","Derived from CAA (unpublished)","no.","267","230","266","189","114","49","7","9","1131"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Response locations","Per 100 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","3.7","4.1","5.9","7.9","6.9","9.6","1.9","3.9","5.0"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","First responder locations","Ambulance","","","","","CAA (unpublished)","no.","16","31","30","254","8","4","0","0","343"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","First responder locations","Third party","","","","","CAA (unpublished)","no.","6","68","0","0","7","5","0","0","86"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Responses","Emergency responses","","","","","CAA (unpublished)","no.","694660","428220","368193","100544","191234","42003","15642","13437","1853933"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Responses","Urgent responses","","","","","CAA (unpublished)","no.","171065","202825","335817","53832","74488","24797","15945","20817","899586"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Responses","Non-emergency responses","","","","","CAA (unpublished)","no.","318070","385746","227323","111195","62531","13339","8321","10187","1136712"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Responses","Total responses","","","","","Derived from CAA (unpublished)","no.","1183795","1016791","931333","265571","328253","80139","39908","44441","3890231"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Responses","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","163.1","181.8","206.1","111.3","199.3","156.6","107.3","190.8","172.7"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Patients","Transported","","","","","CAA (unpublished)","no.","801256","649918","701385","210944","196625","55272","26934","35900","2678234"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Patients","Treated not transported","","","","","CAA (unpublished)","no.","129851","68109","80777","19224","46421","11865","6159","8541","370947"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Patients","Total patients","","","","","Derived from CAA (unpublished)","no.","931107","718027","782162","230168","243046","67137","33093","44441","3049181"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Patients","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","128.3","128.4","173.1","96.5","147.6","131.2","88.9","190.8","135.4"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Transport","Ambulance general purpose","","","","","CAA (unpublished)","no.","914","527","816","448","226","108","25","31","3095"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Transport","Patient transport vehicles","","","","","CAA (unpublished)","no.","122","57","105","29","15","14","4","3","349"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Transport","Operational support vehicles","","","","","CAA (unpublished)","no.","309","310","210","24","104","30","12","12","1011"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Transport","Special operations vehicles","","","","","CAA (unpublished)","no.","94","16","18","11","15","3","0","1","158"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Transport","Administrative and other vehicles","","","","","Derived from CAA (unpublished)","no.","135","182","95","75","39","9","5","11","551"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Transport","Total transport","","","","","Derived from CAA (unpublished)","no.","1574","1092","1244","587","399","164","46","58","5164"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Transport","Total road fleet","","","","","CAA (unpublished)","m km","35.9","29.5","33.9","7.2","10.5","2.8","1.1","1.0","121.9"
"11A.2","2011-12","Ambulance activity and resources","All ages","All areas","","Transport","Air ambulance aircraft","","","","","CAA (unpublished)","no.","15","9","26","16","10","2","1","0","79"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Incidents","Emergency incidents","","","","","CAA (unpublished)","no.","514232","278401","256590","65297","133447","36352","13734","na","1298053"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Incidents","Urgent incidents","","","","","CAA (unpublished)","no.","147869","165564","302871","50819","57577","21333","15771","na","761804"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Incidents","Non-emergency incidents","","","","","CAA (unpublished)","no.","281846","337324","236240","89711","87492","17608","6606","na","1056827"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Incidents","Casualty room attendances","","","","","CAA (unpublished)","no.","..","..","5607","..","..","..","..","..","5607"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Incidents","Total incidents","","","","","Derived from CAA (unpublished)","no.","943947","781289","801308","205827","278516","75293","36111","na","3122291"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Incidents","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","131.5","142.2","180.6","88.8","170.6","147.6","99.0","na","140.8"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Response locations","With paid staff only","","","","","CAA (unpublished)","no.","222","162","238","30","41","10","7","4","714"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Response locations","With mixed paid and volunteer staff","","","","","CAA (unpublished)","no.","6","42","0","12","3","18","0","3","84"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Response locations","With volunteer staff only","","","","","CAA (unpublished)","no.","38","28","27","150","68","21","0","2","334"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Response locations","Total response locations","","","","","Derived from CAA (unpublished)","no.","266","232","265","192","112","49","7","9","1132"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Response locations","Per 100 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","3.7","4.2","6.0","8.3","6.9","9.6","1.9","3.9","5.1"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","First responder locations","Ambulance","","","","","CAA (unpublished)","no.","16","30","30","114","8","4","0","0","202"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","First responder locations","Third party","","","","","CAA (unpublished)","no.","6","68","0","0","7","5","0","0","86"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Responses","Emergency responses","","","","","CAA (unpublished)","no.","655400","404046","331033","71429","167451","41098","13657","11278","1695392"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Responses","Urgent responses","","","","","CAA (unpublished)","no.","181670","207053","331537","59451","67140","22770","15113","20262","904996"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Responses","Non-emergency responses","","","","","CAA (unpublished)","no.","312750","376928","231396","104038","88501","16345","7098","9083","1146139"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Responses","Total responses","","","","","Derived from CAA (unpublished)","no.","1149820","988027","893966","234918","323092","80213","35868","40623","3746527"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Responses","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","160.1","179.8","201.5","101.3","197.9","157.2","98.3","176.4","169.0"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Patients","Transported","","","","","CAA (unpublished)","no.","777548","639747","674915","190469","192027","54765","24275","32836","2586582"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Patients","Treated not transported","","","","","CAA (unpublished)","no.","126394","67641","60550","17475","42652","8760","6696","3537","333705"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Patients","Total patients","","","","","Derived from CAA (unpublished)","no.","903942","707388","735465","207944","234679","63525","30971","36373","2920287"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Patients","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","125.9","128.7","165.8","89.7","143.8","124.5","84.9","157.9","131.7"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Transport","Ambulance general purpose","","","","","CAA (unpublished)","no.","909","523","804","442","214","108","20","31","3051"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Transport","Patient transport vehicles","","","","","CAA (unpublished)","no.","116","53","110","26","18","13","3","3","342"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Transport","Operational support vehicles","","","","","CAA (unpublished)","no.","318","302","221","23","102","25","5","12","1008"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Transport","Special operations vehicles","","","","","CAA (unpublished)","no.","91","15","16","11","15","3","0","1","152"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Transport","Administrative and other vehicles","","","","","Derived from CAA (unpublished)","no.","135","188","110","66","40","9","8","11","567"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Transport","Total transport","","","","","Derived from CAA (unpublished)","no.","1569","1081","1261","568","389","158","36","58","5120"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Transport","Total road fleet","","","","","CAA (unpublished)","m km","35.1","29.0","31.2","6.8","10.5","2.7","0.9","0.9","117.1"
"11A.2","2010-11","Ambulance activity and resources","All ages","All areas","","Transport","Air ambulance aircraft","","","","","CAA (unpublished)","no.","15","9","25","16","10","2","1","0","78"
"11A.3","2019-20","Response times","All ages","Greater Capital city","","Response times","90th percentile","Capital city","","","","CAA (unpublished)","min.","22.2","15.8","18.3","15.4","20.6","25.6","14.3","17.8",""
"11A.3","2019-20","Response times","All ages","All areas","","Response times","90th percentile","State-wide","","","","CAA (unpublished)","min.","24.9","18.7","18.4","16.0","22.6","32.8","14.3","19.4",""
"11A.3","2019-20","Response times","All ages","Greater Capital city","","Response times","50th percentile","Capital city","","","","CAA (unpublished)","min.","11.3","9.5","9.9","8.8","10.9","13.1","8.9","9.0",""
"11A.3","2019-20","Response times","All ages","All areas","","Response times","50th percentile","State-wide","","","","CAA (unpublished)","min.","11.7","9.8","9.4","8.8","10.9","13.8","8.9","8.7",""
"11A.3","2018-19","Response times","All ages","Greater Capital city","","Response times","90th percentile","Capital city","","","","CAA (unpublished)","min.","21.3","15.2","17.3","14.7","19.4","20.9","14.9","18.5",""
"11A.3","2018-19","Response times","All ages","All areas","","Response times","90th percentile","State-wide","","","","CAA (unpublished)","min.","24.0","18.0","17.1","15.4","21.1","29.2","14.9","20.4",""
"11A.3","2018-19","Response times","All ages","Greater Capital city","","Response times","50th percentile","Capital city","","","","CAA (unpublished)","min.","11.0","9.2","9.3","8.5","10.7","11.7","9.1","9.2",""
"11A.3","2018-19","Response times","All ages","All areas","","Response times","50th percentile","State-wide","","","","CAA (unpublished)","min.","11.4","9.5","8.9","8.5","10.7","12.9","9.1","9.0",""
"11A.3","2018","Response times","All ages","Greater Capital city","","Response times","Capital city area (sq km)","","","","","ABS Australian Statistical Geography Standard (ASGS): Volume 1 - Main Structure and Greater Capital City Statistical Areas","sq km","12368","9993","15842","6416","3260","1695","2358","3164",""
"11A.3","2018","Response times","All ages","Greater Capital city","","Response times","Capital city population per sq km","","","","","Derived from ABS Australian Statistical Geography Standard (ASGS): Volume 1 - Main Structure and Greater Capital City Statistical Areas; ABS Regional Population Growth","rate","487.0","504.1","202.9","316.5","391.9","..","178.2","..",""
"11A.3","2017-18","Response times","All ages","Greater Capital city","","Response times","90th percentile","Capital city","","","","CAA (unpublished)","min.","20.8","16.1","17.8","14.1","18.0","20.0","14.7","19.6",""
"11A.3","2017-18","Response times","All ages","All areas","","Response times","90th percentile","State-wide","","","","CAA (unpublished)","min.","23.2","19.1","17.3","14.8","19.9","29.4","14.7","21.0",""
"11A.3","2017-18","Response times","All ages","Greater Capital city","","Response times","50th percentile","Capital city","","","","CAA (unpublished)","min.","11.0","9.5","9.6","8.3","10.3","11.5","9.1","9.8",""
"11A.3","2017-18","Response times","All ages","All areas","","Response times","50th percentile","State-wide","","","","CAA (unpublished)","min.","11.2","9.8","9.0","8.4","10.4","12.8","9.1","9.2",""
"11A.3","2016-17","Response times","All ages","Greater Capital city","","Response times","90th percentile","Capital city","","","","CAA (unpublished)","min.","20.8","17.3","16.2","14.6","17.0","22.5","14.3","23.3",""
"11A.3","2016-17","Response times","All ages","All areas","","Response times","90th percentile","State-wide","","","","CAA (unpublished)","min.","23.0","20.5","16.9","15.3","19.0","31.4","14.3","25.1",""
"11A.3","2016-17","Response times","All ages","Greater Capital city","","Response times","50th percentile","Capital city","","","","CAA (unpublished)","min.","10.8","10.1","8.9","8.5","9.9","14.2","8.7","10.4",""
"11A.3","2016-17","Response times","All ages","All areas","","Response times","50th percentile","State-wide","","","","CAA (unpublished)","min.","11.1","10.4","8.8","8.5","10.0","13.8","8.7","10.2",""
"11A.3","2015-16","Response times","All ages","Greater Capital city","","Response times","90th percentile","Capital city","","","","CAA (unpublished)","min.","20.6","18.2","16.0","14.2","16.0","19.4","13.7","19.6",""
"11A.3","2015-16","Response times","All ages","All areas","","Response times","90th percentile","State-wide","","","","CAA (unpublished)","min.","22.9","21.5","17.1","14.9","19.0","26.3","13.7","17.6",""
"11A.3","2015-16","Response times","All ages","Greater Capital city","","Response times","50th percentile","Capital city","","","","CAA (unpublished)","min.","10.8","10.5","8.7","8.3","9.5","11.9","8.5","8.9",""
"11A.3","2015-16","Response times","All ages","All areas","","Response times","50th percentile","State-wide","","","","CAA (unpublished)","min.","11.0","10.9","8.6","8.4","9.6","12.9","8.5","7.5",""
"11A.3","2014-15","Response times","All ages","Greater Capital city","","Response times","90th percentile","Capital city","","","","CAA (unpublished)","min.","21.2","18.3","15.1","14.3","14.7","18.5","12.5","18.2",""
"11A.3","2014-15","Response times","All ages","All areas","","Response times","90th percentile","State-wide","","","","CAA (unpublished)","min.","22.9","22.1","16.4","15.0","16.8","25.3","12.5","17.5",""
"11A.3","2014-15","Response times","All ages","Greater Capital city","","Response times","50th percentile","Capital city","","","","CAA (unpublished)","min.","11.2","10.5","8.3","8.4","8.8","11.5","8.0","8.5",""
"11A.3","2014-15","Response times","All ages","All areas","","Response times","50th percentile","State-wide","","","","CAA (unpublished)","min.","11.2","11.0","8.3","8.5","9.1","12.3","8.0","7.5",""
"11A.3","2013-14","Response times","All ages","Greater Capital city","","Response times","90th percentile","Capital city","","","","CAA (unpublished)","min.","19.8","19.2","14.7","13.9","14.5","17.6","12.9","17.4",""
"11A.3","2013-14","Response times","All ages","All areas","","Response times","90th percentile","State-wide","","","","CAA (unpublished)","min.","22.2","22.4","16.3","16.1","16.6","24.8","12.9","17.1",""
"11A.3","2013-14","Response times","All ages","Greater Capital city","","Response times","50th percentile","Capital city","","","","CAA (unpublished)","min.","10.6","10.8","8.2","8.4","8.6","11.1","8.2","8.3",""
"11A.3","2013-14","Response times","All ages","All areas","","Response times","50th percentile","State-wide","","","","CAA (unpublished)","min.","10.8","11.1","8.2","8.8","8.8","12.1","8.2","7.6",""
"11A.3","2012-13","Response times","All ages","Greater Capital city","","Response times","90th percentile","Capital city","","","","CAA (unpublished)","min.","20.6","19.5","14.9","14.2","15.4","17.1","13.7","14.6",""
"11A.3","2012-13","Response times","All ages","All areas","","Response times","90th percentile","State-wide","","","","CAA (unpublished)","min.","23.0","22.9","16.5","16.5","17.4","23.9","13.7","21.6",""
"11A.3","2012-13","Response times","All ages","Greater Capital city","","Response times","50th percentile","Capital city","","","","CAA (unpublished)","min.","10.9","10.9","8.2","8.7","9.2","10.8","8.7","8.4",""
"11A.3","2012-13","Response times","All ages","All areas","","Response times","50th percentile","State-wide","","","","CAA (unpublished)","min.","11.1","11.2","8.2","9.1","9.4","11.6","8.7","9.5",""
"11A.3","2011-12","Response times","All ages","Greater Capital city","","Response times","90th percentile","Capital city","","","","CAA (unpublished)","min.","19.7","18.7","15.7","15.4","15.5","17.1","14.8","15.0",""
"11A.3","2011-12","Response times","All ages","All areas","","Response times","90th percentile","State-wide","","","","CAA (unpublished)","min.","22.5","22.1","17.0","17.8","17.4","24.4","14.8","22.5",""
"11A.3","2011-12","Response times","All ages","Greater Capital city","","Response times","50th percentile","Capital city","","","","CAA (unpublished)","min.","10.7","10.6","8.5","9.3","9.7","11.0","9.3","8.6",""
"11A.3","2011-12","Response times","All ages","All areas","","Response times","50th percentile","State-wide","","","","CAA (unpublished)","min.","10.9","11.0","8.3","9.6","9.8","11.9","9.3","9.6",""
"11A.3","2010-11","Response times","All ages","Greater Capital city","","Response times","90th percentile","Capital city","","","","CAA (unpublished)","min.","19.1","17.2","15.1","15.9","14.5","17.6","15.6","16.9",""
"11A.3","2010-11","Response times","All ages","All areas","","Response times","90th percentile","State-wide","","","","CAA (unpublished)","min.","21.7","21.0","16.7","18.8","16.4","23.2","15.6","23.9",""
"11A.3","2010-11","Response times","All ages","Greater Capital city","","Response times","50th percentile","Capital city","","","","CAA (unpublished)","min.","10.3","10.1","8.2","9.8","9.2","10.6","9.8","8.4",""
"11A.3","2010-11","Response times","All ages","All areas","","Response times","50th percentile","State-wide","","","","CAA (unpublished)","min.","10.6","10.7","8.2","10.7","9.4","11.4","9.8","10.3",""
"11A.4","2019-20","Call answering time","All ages","All areas","","Proportion of calls from the emergency call service answered by ambulance service communication centre staff in a time equal to or less than 10 seconds","","","","","","CAA (unpublished)","%","91.5","94.4","91.3","86.2","95.4","97.7","95.9","93.6","92.1"
"11A.4","2019-20","Call answering time","All ages","All areas","","Number of calls received by the triple zero emergency call service that require an ambulance service","","","","","","CAA (unpublished)","'000","990.1","814.1","919.1","305.9","246.0","72.9","45.0","52.5","3445.5"
"11A.4","2018-19","Call answering time","All ages","All areas","","Proportion of calls from the emergency call service answered by ambulance service communication centre staff in a time equal to or less than 10 seconds","","","","","","CAA (unpublished)","%","79.6","93.7","91.5","89.5","93.7","76.9","97.0","97.7","88.4"
"11A.4","2018-19","Call answering time","All ages","All areas","","Number of calls received by the triple zero emergency call service that require an ambulance service","","","","","","CAA (unpublished)","'000","963.3","788.2","865.5","274.7","232.4","71.3","42.5","52.7","3290.8"
"11A.4","2017-18","Call answering time","All ages","All areas","","Proportion of calls from the emergency call service answered by ambulance service communication centre staff in a time equal to or less than 10 seconds","","","","","","CAA (unpublished)","%","81.5","93.9","92.1","94.3","92.6","78.7","96.5","97.7","89.4"
"11A.4","2017-18","Call answering time","All ages","All areas","","Number of calls received by the triple zero emergency call service that require an ambulance service","","","","","","CAA (unpublished)","'000","952.8","760.4","825.5","238.6","218.0","69.4","40.8","57.9","3163.4"
"11A.4","2016-17","Call answering time","All ages","All areas","","Proportion of calls from the emergency call service answered by ambulance service communication centre staff in a time equal to or less than 10 seconds","","","","","","CAA (unpublished)","%","79.7","93.8","91.9","94.5","95.4","75.6","95.8","96.5","88.9"
"11A.4","2016-17","Call answering time","All ages","All areas","","Number of calls received by the triple zero emergency call service that require an ambulance service","","","","","","CAA (unpublished)","'000","903.5","739.3","786.5","231.8","203.2","67.8","39.0","52.0","3023.0"
"11A.4","2015-16","Call answering time","All ages","All areas","","Proportion of calls from the emergency call service answered by ambulance service communication centre staff in a time equal to or less than 10 seconds","","","","","","CAA (unpublished)","%","81.2","93.1","91.6","95.2","95.3","95.3","96.6","95.9","93.2"
"11A.4","2015-16","Call answering time","All ages","All areas","","Number of calls received by the triple zero emergency call service that require an ambulance service","","","","","","CAA (unpublished)","'000","875.4","714.7","737.8","219.3","192.1","65.5","37.1","49.7","2891.6"
"11A.4","2014-15","Call answering time","All ages","All areas","","Proportion of calls from the emergency call service answered by ambulance service communication centre staff in a time equal to or less than 10 seconds","","","","","","CAA (unpublished)","%","86.1","93.3","91.2","94.4","92.3","96.8","95.8","93.4","89.5"
"11A.4","2014-15","Call answering time","All ages","All areas","","Number of calls received by the triple zero emergency call service that require an ambulance service","","","","","","CAA (unpublished)","'000","786.6","679.9","684.4","194.3","184.7","63.1","35.5","46.9","2675.4"
"11A.4","2013-14","Call answering time","All ages","All areas","","Proportion of calls from the emergency call service answered by ambulance service communication centre staff in a time equal to or less than 10 seconds","","","","","","CAA (unpublished)","%","88.5","92.8","90.7","94.1","91.3","96.2","96.0","9.0","89.4"
"11A.4","2013-14","Call answering time","All ages","All areas","","Number of calls received by the triple zero emergency call service that require an ambulance service","","","","","","CAA (unpublished)","'000","780.5","665.7","643.4","178.3","181.1","60.7","33.1","45.7","2588.5"
